prethermal_list_0,prethermal_list_5,prethermal_list_20
0.3638625,0.21015625,0.1796
0.04110625,0.211575,0.180975
0.054775,0.200725,0.18043125
0.02485,0.2152375,0.18370625
0.03515,0.21799375,0.18043125
0.03940625,0.21329375,0.1807125
0.35,0.2216125,0.17893125
0.23975,0.18660625,0.18326875
0.4471,0.18980625,0.18176875
0.2219125,0.1792625,0.18376875
0.37464375,0.219,0.1776
0.31960625,0.1992125,0.1815875
0.0856375,0.18805625,0.18098125
0.3442125,0.2257125,0.1804625
0.430225,0.226,0.1783
0.2369375,0.19734375,0.1811875
0.2213625,0.17404375,0.18605625
0.059375,0.2154875,0.1828125
0.2616125,0.19980625,0.18238125
0.0047,0.21106875,0.18395
0.37080625,0.22564375,0.18376875
0.4475875,0.18303125,0.18126875
0.37029375,0.2241875,0.1844125
0.36451875,0.220325,0.1848125
0.3740875,0.22613125,0.1811375
0.039175,0.20395625,0.1835375
0.0696375,0.21939375,0.1816125
0.02249375,0.18841875,0.18179375
0.035425,0.22150625,0.1838375
0.45425625,0.1891625,0.185575
-0.03383125,0.1803,0.1827125
-0.09950625,0.1822,0.1842875
-0.06121875,0.16836875,0.183375
-0.06320625,0.185475,0.18078125
0.049325,0.218725,0.17893125
0.2654625,0.199725,0.17656875
0.07061875,0.2124375,0.18005625
0.053675,0.2070375,0.17930625
0.2511875,0.18655625,0.1818375
0.0380375,0.1924,0.17988125
0.045175,0.18135625,0.183175
0.22185,0.18125625,0.18284375
0.22358125,0.17106875,0.18090625
-0.06425,0.1787875,0.18109375
0.24113125,0.20268125,0.18386875
0.02563125,0.2006125,0.1809625
0.0495625,0.20763125,0.18130625
0.08730625,0.20789375,0.18035
0.28433125,0.21404375,0.175025
0.4731625,0.17719375,0.17593125
0.26008125,0.2091625,0.17151875
