prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.141354782,0.418959255,-0.57061412,-0.1
0.114411158,0.378640373,-0.226206309,0.1
0.139699784,0.394480863,-0.551708357,0.7
0.121726405,0.358446721,0.878533392,-0.1
0.146781876,0.38492809,0.06398346,-0.5
0.141945532,0.401036239,-0.067392168,-0.3
0.13777528,0.401022767,0.905598785,0.5
0.124133542,0.382926053,0.24629084,-0.1
0.167401061,0.400376368,0.140133957,-0.7
0.121886079,0.382924546,0.720654241,0.1
0.152885336,0.394877153,0.896582713,0.5
0.154825569,0.381592503,0.809734446,-0.5
0.147383739,0.398920255,0.262220964,0.1
0.13983171,0.395839861,0.434419327,0.5
0.170751006,0.406395719,0.821346065,-0.3
0.142575245,0.416206344,0.308861478,0.9
0.177442383,0.384976594,0.567571634,-0.9
0.173966254,0.375919242,0.476251646,-0.9
0.154563986,0.400314082,-0.811654894,-0.7
0.149750826,0.413550943,0.386802826,0.1
0.133653449,0.391890736,-0.09390082,-0.3
0.144149923,0.398449092,0.122692877,0.3
0.128992153,0.396247339,-0.312748756,-0.3
0.118740409,0.374315152,0.824034155,-0.1
0.137792198,0.409027409,0.69224165,-0.1
0.134563312,0.395888549,0.001117367,0.3
0.123730767,0.397188536,0.840939555,0.3
0.124962866,0.37220171,0.578669508,0.7
0.174781811,0.388586568,-0.201264114,-0.7
0.122109461,0.375918086,-1.947357752,0.5
0.151754795,0.381885525,-1.142599808,-0.7
0.126248282,0.416452488,0.252076476,0.3
0.130320591,0.393118293,1.100548355,0.5
0.143674003,0.374749157,-0.950365495,-0.7
0.127880746,0.395836868,-0.33400128,0.7
0.136939746,0.381780444,0.160316535,-0.1
0.1151409,0.388466575,-0.372194708,0.5
0.138280121,0.412901756,-0.681462051,0.3
0.13417356,0.383723013,-1.080040137,0.3
0.141122776,0.405798087,-0.586029692,0.5
0.148685329,0.410936707,0.643172874,-0.5
0.181911805,0.39127017,0.271006759,-0.3
0.142594295,0.398230053,0.150124924,0.3
0.130926845,0.383621458,0.563585168,-0.3
0.138181985,0.398489154,0.569313069,0.1
0.137247993,0.392544343,1.11078178,0.1
0.123168161,0.380901299,-0.732491833,0.7
0.132426484,0.399960784,0.418949926,0.9
0.158382193,0.410850428,-1.401880497,-0.5
0.16360404,0.375172397,0.534456812,-0.7
0.144214274,0.41298543,-0.696039089,0.5
0.128464218,0.394791904,-1.021220326,0.5
0.143420253,0.402955043,-0.239632884,-0.5
0.159112289,0.367673127,-0.603673772,-0.5
0.14029248,0.360250449,0.239994338,-0.7
0.136479858,0.410565915,-0.810484659,-0.3
0.133777245,0.390176469,-1.137778021,0.9
0.120693583,0.404713325,1.180716465,0.1
0.146978936,0.385607402,-0.384011994,0.1
0.118895828,0.379455771,-0.235634192,-0.3
0.116956449,0.367046546,-0.590956971,-0.1
0.112430839,0.373306235,-0.166941127,0.1
0.165836005,0.380229351,0.375442992,-0.7
0.131078013,0.416842615,-0.974201796,-0.1
0.148259004,0.388292911,-0.14152107,0.1
0.167375647,0.423917308,0.184971431,0.5
0.129509158,0.368168693,-0.321746978,-0.5
0.139649549,0.403736711,-1.041952817,0.3
0.132343254,0.39843947,-0.506551819,0.1
0.129162057,0.377260188,-0.921273656,-0.5
0.148090713,0.404208582,0.524490859,-0.5
0.131879351,0.369537991,0.359037286,-0.1
0.199230432,0.377734354,0.596236539,-0.9
0.115404287,0.358394312,0.823002349,-0.3
0.114794014,0.404364306,-0.775406229,0.3
0.171428194,0.400766182,-0.124463752,0.3
0.144679536,0.406560979,-0.166922553,0.5
0.141493036,0.413982549,-0.280162135,0.3
0.130697956,0.383555298,-0.005072886,0.1
0.135057124,0.388983513,-0.422234236,-0.1
0.129768544,0.39313038,0.727266017,-0.1
0.125383182,0.378174285,0.180525467,0.1
0.125141034,0.375231934,-0.40227008,0.7
0.127058802,0.375019646,1.170692669,0.5
0.13303442,0.391261482,-1.250868535,0.1
0.137116488,0.405984881,0.585174846,0.3
0.144947944,0.378934979,0.027830853,-0.7
0.127215922,0.382512212,-0.373658757,-0.1
0.128790102,0.397878223,-0.100286453,0.5
0.127633171,0.407639202,-0.470112316,0.3
0.152013025,0.390696413,0.478427818,0.3
0.136986685,0.394993014,-0.68772447,-0.3
0.139542683,0.363375056,0.269103566,-0.5
0.138351239,0.399346935,0.248334413,0.1
0.125099367,0.368326476,0.733591615,0.1
0.131048106,0.404233502,0.266189909,0.3
0.136067117,0.381211753,-0.703382188,0.1
0.120250508,0.372688575,0.724936164,0.1
0.124842042,0.385210238,-0.1758548,0.1
0.138493408,0.402182209,-0.72257585,0.1
0.131689607,0.368422159,0.662459401,-0.5
0.143389248,0.374769026,0.048183264,0.9
0.137636839,0.423413025,1.051141735,0.3
0.11180927,0.387221656,-0.603679081,0.1
0.162164838,0.377548664,-0.295534295,-0.9
0.133916109,0.357902256,-0.232140339,-0.5
0.140697597,0.402246165,-0.085743326,-0.1
0.129817011,0.375038891,0.880024906,0.9
0.141893179,0.374508603,0.039419753,-0.5
0.150062068,0.371139302,1.029145273,-0.3
0.11689297,0.386823048,0.282966872,0.1
0.118453103,0.383365738,0.713337883,0.5
0.121452965,0.388098335,0.191091705,0.1
0.120877422,0.370614381,-0.137654507,-0.1
0.119509602,0.385549263,-0.404736084,-0.1
0.166767936,0.357065099,0.017168208,-0.9
0.15127594,0.426567354,-0.773787086,0.1
0.145690731,0.375740649,0.073418946,-0.3
0.137833358,0.402104656,-0.874044986,-0.5
0.142794083,0.403613543,0.720262296,0.5
0.14995727,0.392355905,-0.248013815,-0.5
0.140105383,0.380306683,0.574908509,-0.5
0.138885366,0.397135689,-0.631617784,0.1
0.134421175,0.38394079,0.318652247,0.5
0.135478881,0.403403237,0.464639845,0.5
0.122063298,0.389253152,0.140903347,-0.3
0.122876203,0.387899365,0.334422628,0.3
0.143492967,0.37752655,-0.040425131,0.1
0.127328215,0.384140398,0.770221346,-0.3
0.116232616,0.387841243,-1.775850347,0.1
0.165064567,0.401107467,-0.837100466,-0.9
0.123802595,0.40074933,0.164939108,0.3
0.129700288,0.397533501,0.301017737,0.3
0.170447827,0.411329374,-0.475815267,0.3
0.134649314,0.399634265,-1.306076467,0.5
0.119491417,0.385280039,-0.545364773,-0.1
0.193797391,0.390840931,0.753067845,-0.3
